OBJECTID,wdpaid,en_name,PATH,ROW,Shape_Length,Shape_Area
127,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,67,17,1.137693624642980,0.017246046726086
128,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,143,225,3.472066218411677,0.191883558980996
129,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,143,226,0.649320977366130,0.010977604851872
130,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,144,225,7.129860632707463,1.688024789316106
131,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,144,226,7.211181096232342,1.920591531614345
132,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,144,227,4.203498471869431,0.430095420544886
133,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,145,225,9.798466512211052,2.538790236837259
134,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,145,226,10.564591994497265,3.244634290907932
135,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,145,227,7.071649418731482,1.295160243310110
136,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,145,228,2.281267982045187,0.246725214222925
137,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,146,224,0.260064705841413,0.002082674076351
138,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,146,225,6.330455190564223,1.046132151057789
139,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,146,226,11.055375185388931,3.619764059738359
140,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,146,227,10.622291418729407,3.106066381447513
141,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,146,228,5.576921824045287,1.064147052118356
142,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,147,226,11.309169935242409,2.715092552526766
143,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,147,227,10.821241428778713,4.780768105271484
144,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,147,228,9.190714196075327,1.670443555840274
145,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,148,226,9.763177165076296,1.433578049737791
146,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,148,227,12.560006907583588,4.109403613559219
147,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,148,228,7.996744073087397,1.153364685214265
148,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,149,226,3.999839108539123,0.410674545326587
149,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,149,227,10.171732375055489,1.970671915459111
150,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,149,228,3.911571587985364,0.284838436429995
151,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,150,226,1.028979694295794,0.017808077531147
152,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,150,227,1.639608047064728,0.039636912463317
153,2554,Darien National Park,10,54,1.684482690202982,0.096635743022029
154,2554,Darien National Park,10,55,2.327512216268543,0.159069549843217
155,2554,Darien National Park,11,54,2.814411149917803,0.085788350816805
156,2554,Darien National Park,11,55,3.553391122305896,0.248731586364352
